CONDITION,OUTCOME,YEAR,Geography,SRANum,RegionNum,RegionName,UrbanicitySort,UrbanicityCat,SESSort,Socioeconomic_Category,SDNUM,Supervisor_District,Total_Cases,Total_Rate,Age_Adjusted_Rate,Male_Cases,Male_Rate,Female_Cases,Female_Rate,White_Cases,White_Rate,Black_Cases,Black_Rate,Hispanic_Cases,Hispanic_Rate,Asian_Pacific_Islander_Cases,Asian_Pacific_Islander_Rate,Other_Race_Ethnicity_Cases,Other_Race_Ethnicity_Rate,Age_Group_0_to_14_Cases,Age_Group_0_to_14_Rate,Age_Group_15_to_24_Cases,Age_Group_15_to_24_Rate,Age_Group_25_to_44_Cases,Age_Group_25_to_44_Rate,Age_Group_45_to_64_Cases,Age_Group_45_to_64_Rate,Age_Group_65Plus_Cases,Age_Group_65Plus_Rate
Acute Alcohol,Hospitalization,2010,San Diego County (Actual Rate),0,0,COUNTY,99,,99,,99,County Total,1481,47.8465344215593,47.3589064253279,954,61.4026449478946,527,34.1845081257938,1113,74.1976751395123,74,50.4774897680764,213,21.4858959719493,13,3.80604399786862,20,17.2777221051177,6,1.00642771836127,69,13.9156389597556,489,54.852297010045,795,104.551611672957,122,34.7157999573166
Acute Alcohol,Hospitalization,2010,Central Region,99,99,REGION CENTRAL,99,,99,,99,Central Region,306,63.1685858081244,64.8784278492652,199,80.3407416379014,107,45.2005086113305,204,142.021720969089,32,56.4592963760189,56,27.402220558516,,,5,31.5298272165469,,,13,15.6366523130217,110,68.1295948766545,158,148.056523857716,25,57.7620664956909
Acute Alcohol,Hospitalization,2010,Central San Diego,1,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,164,99.0511623412313,95.1824572387468,112,123.729562527618,52,69.2862187046142,128,155.545563913429,10,87.0928409684724,20,34.7089653257436,,,,,,,,,65,93.214019388516,84,221.355539158849,11,70.7759619096641
Acute Alcohol,Hospitalization,2010,Mid-City,6,3,CENTRAL,5,Very Urban Area,1,Lowest Income,4,Supervisorial District 4,95,58.2671949559009,63.6229169452355,54,66.4967305774133,41,50.1008126107411,63,135.629709364909,,,22,32.1332067479734,,,,,,,6,18.0288461538462,34,67.4549638917546,46,140.385143589587,9,70.4060079793476
Acute Alcohol,Hospitalization,2010,Southeastern San Diego,5,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,47,30.1659125188537,30.7630734715486,33,43.4393428812131,14,17.5357290479352,13,87.2541781327606,18,69.557152793879,14,17.885431038888,,,,,,,,,11,26.6208465429201,28,77.7756173439627,5,33.4313987697245
Acute Alcohol,Hospitalization,2010,East Region,99,99,REGION EAST,99,,99,,99,East Region,335,72.3373381587016,69.8133405043891,227,99.5400111379572,108,45.9459114520184,272,97.4002721478192,19,71.4876965911656,36,31.1407909760908,,,,,,,16,23.3491426486684,113,93.2366312697509,180,141.237396523991,25,44.6827524575514
Acute Alcohol,Hospitalization,2010,Alpine,38,5,EAST,1,Rural Area,5,High Income,2,Supervisorial District 2,26,172.929830395743,169.904955827388,16,214.505965947178,10,131.995776135164,25,211.667090000847,,,,,,,,,,,,,10,305.530094714329,14,287.474332648871,,
Acute Alcohol,Hospitalization,2010,El Cajon,34,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,66,53.0009797150796,51.898868912385,51,83.7081049141582,15,23.5849056603774,53,71.952212869943,7,100.02857959417,5,15.0838662966091,,,,,,,5,25.4323499491353,18,54.525627044711,35,110.413577715385,8,54.5442149042067
Acute Alcohol,Hospitalization,2010,Harbison Crest/El Cajon,37,5,EAST,99,,99,,2,Supervisorial District 2,116,83.3506980620963,80.838301063432,84,123.102174805088,32,45.1117219990132,95,111.380769816984,7,98.273199494595,13,36.8836179992056,,,,,,,7,32.520325203252,33,92.0681862567307,65,175.984838229322,11,64.2936466187387
Acute Alcohol,Hospitalization,2010,Jamul,30,5,EAST,1,Rural Area,6,Highest Income,2,Supervisorial District 2,8,42.1985441502268,36.7700435087061,,,,,6,57.2300648607402,,,,,,,,,,,,,,,,,,
Acute Alcohol,Hospitalization,2010,La Mesa,33,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,51,86.303177987613,82.8372470786806,32,113.543625589895,19,61.4667917569797,45,121.480441648895,,,5,42.1834134818189,,,,,,,,,15,87.8374421736839,29,188.802083333333,5,58.173356602676
Acute Alcohol,Hospitalization,2010,Laguna-Pine Valley,61,5,EAST,1,Rural Area,3,Moderately Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute Alcohol,Hospitalization,2010,Lakeside,36,5,EAST,2,Exurban Area,3,Moderately Low Income,2,Supervisorial District 2,40,71.4030703320243,71.3325562587389,24,86.6300895177592,16,56.5051560954937,38,93.0300878889515,,,,,,,,,,,,,17,117.378996064351,19,118.564742589704,,
Acute Alcohol,Hospitalization,2010,Lemon Grove,32,5,EAST,5,Very Urban Area,2,Low Income,2,Supervisorial District 2,21,70.4437959142598,74.5591499765414,17,117.249465480378,,,12,126.756100137319,,,7,55.968657551771,,,,,,,,,11,137.088733798604,7,91.5990578382622,,
Acute Alcohol,Hospitalization,2010,Mountain Empire,62,5,EAST,1,Rural Area,2,Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute Alcohol,Hospitalization,2010,Santee,35,5,EAST,3,Suburban Area,4,Moderately High Income,2,Supervisorial District 2,36,70.3798557212958,64.6121892641391,23,92.8692562383913,13,49.2704187985598,28,73.728835874345,,,,,,,,,,,,,14,100.937274693583,21,142.363229611552,,
Acute Alcohol,Hospitalization,2010,Spring Valley,31,5,EAST,4,Urban Area,4,Moderately High Income,2,Supervisorial District 2,34,41.974790434686,41.1022351187644,25,63.4211928257947,9,21.6439805685152,22,57.5043128234618,5,64.532782653588,,,,,,,,,,,10,47.4788719020036,19,88.0975564519868,,
Acute Alcohol,Hospitalization,2010,North Central Region,99,99,REGION N CENTRAL,99,,99,,99,North Central Region,309,51.1632604739804,50.5024845520103,193,63.1695398442691,116,38.8711288041766,247,67.6547362423957,,,36,42.0251450451187,,,7,26.8045184759717,,,16,15.5966701109313,104,54.1765425989113,169,118.228117304679,19,26.4336792899079
Acute Alcohol,Hospitalization,2010,Coastal,11,2,N CENTRAL,3,Suburban Area,5,High Income,4,Supervisorial District 4,48,63.681592039801,65.568120108271,26,66.9378507800834,22,60.2195275504339,39,64.1120481333531,,,5,62.142679592344,,,,,,,,,16,57.7763333694435,26,158.054711246201,5,40.3323384689844
Acute Alcohol,Hospitalization,2010,Del Mar-Mira Mesa,13,2,N CENTRAL,3,Suburban Area,6,Highest Income,3,Supervisorial District 3,51,32.366772651981,30.1927401638896,28,35.4121084116405,23,29.2993630573248,40,52.6627608452373,,,5,31.6475726311792,,,,,,,5,25.9080781387637,19,39.9713889005764,24,53.5786042773586,,
Acute Alcohol,Hospitalization,2010,Elliott-Navajo,17,2,N CENTRAL,2,Exurban Area,5,High Income,3,Supervisorial District 3,44,49.3793908378785,48.226227119066,25,57.8248600638386,19,41.4196023718172,35,58.2488724682544,,,6,46.242774566474,,,,,,,,,14,55.6107249255213,25,111.170401992174,,
