CONDITION,OUTCOME,YEAR,Geography,SRANum,RegionNum,RegionName,UrbanicitySort,UrbanicityCat,SESSort,Socioeconomic_Category,SDNUM,Supervisor_District,Total_Cases,Total_Rate,Age_Adjusted_Rate,Male_Cases,Male_Rate,Female_Cases,Female_Rate,White_Cases,White_Rate,Black_Cases,Black_Rate,Hispanic_Cases,Hispanic_Rate,Asian_Pacific_Islander_Cases,Asian_Pacific_Islander_Rate,Other_Race_Ethnicity_Cases,Other_Race_Ethnicity_Rate,Age_Group_0_to_14_Cases,Age_Group_0_to_14_Rate,Age_Group_15_to_24_Cases,Age_Group_15_to_24_Rate,Age_Group_25_to_44_Cases,Age_Group_25_to_44_Rate,Age_Group_45_to_64_Cases,Age_Group_45_to_64_Rate,Age_Group_65Plus_Cases,Age_Group_65Plus_Rate
Acute Substance,Hospitalization,2010,San Diego County (Actual Rate),0,0,COUNTY,99,,99,,99,County Total,861,27.8162499236749,26.6569966549033,485,31.2162293498207,376,24.3897059872836,593,39.532094661034,55,37.5170532060027,135,13.6178213906721,23,6.73377015007524,23,19.8693804208853,6,1.00642771836127,224,45.1754076374674,280,31.4082682266107,242,31.8257736161706,109,31.0165753717009
Acute Substance,Hospitalization,2010,Central Region,99,99,REGION CENTRAL,99,,99,,99,Central Region,146,30.1392598953796,29.5065838855119,83,33.5089525424413,63,26.6133835748956,80,55.6947925368978,29,51.1662373407671,32,15.6584117477234,,,,,,,19,22.8535687651856,63,39.0196770657203,50,46.8533303347202,14,32.3467572375869
Acute Substance,Hospitalization,2010,Central San Diego,1,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,72,43.4858761498088,37.4304494677556,46,50.8174988952718,26,34.6431093523071,45,54.6839873133149,14,121.929977355861,11,19.089930929159,,,,,,,9,39.147455415398,32,45.8899787758848,30,79.0555496995889,,
Acute Substance,Hospitalization,2010,Mid-City,6,3,CENTRAL,5,Very Urban Area,1,Lowest Income,4,Supervisorial District 4,43,26.3735724537236,28.7098366255806,24,29.5541024788503,19,23.217449746441,27,58.1270182992465,,,10,14.6060030672606,,,,,,,,,17,33.7274819458773,15,45.7777642139958,7,54.7602284283814
Acute Substance,Hospitalization,2010,Southeastern San Diego,5,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,31,19.8966657039248,21.8711992876128,13,17.1124684077506,18,22.5459373473452,8,53.6948788509296,11,42.5071489295927,11,14.052838673412,,,,,,,6,22.3313979455114,14,33.8810774182619,5,13.8885030971362,6,40.1176785236694
Acute Substance,Hospitalization,2010,East Region,99,99,REGION EAST,99,,99,,99,East Region,191,41.2430793680956,39.7358305416784,97,42.5347184157791,94,39.9899599674975,136,48.7001360739096,9,33.8625931221311,28,24.2206152036262,6,29.0219599496953,7,33.3460365853659,,,42,61.2914994527545,63,51.9814846902151,63,49.4330887833968,23,41.1081322609473
Acute Substance,Hospitalization,2010,Alpine,38,5,EAST,1,Rural Area,5,High Income,2,Supervisorial District 2,7,46.5580312603924,51.2811106170746,,,,,6,50.8001016002032,,,,,,,,,,,,,,,,,,
Acute Substance,Hospitalization,2010,El Cajon,34,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,42,33.7278961823234,31.7307051891144,17,27.9027016380527,25,39.3081761006289,31,42.0852565843063,,,,,,,,,,,12,61.0376398779247,7,21.2044105173876,17,53.6294520331872,6,40.908161178155
Acute Substance,Hospitalization,2010,Harbison Crest/El Cajon,37,5,EAST,99,,99,,2,Supervisorial District 2,63,45.2680515337247,43.3677431782604,28,41.0340582683627,35,49.3409459364207,48,56.276599486476,,,6,17.0232083073257,,,,,,,17,78.9779326364692,17,47.4290656474067,22,59.5640990930012,7,40.9141387573792
Acute Substance,Hospitalization,2010,Jamul,30,5,EAST,1,Rural Area,6,Highest Income,2,Supervisorial District 2,7,36.9237261314485,34.0328181544734,7,64.2260757867694,,,,,,,,,,,,,,,,,,,,,,
