CONDITION,OUTCOME,YEAR,Geography,SRANum,RegionNum,RegionName,UrbanicitySort,UrbanicityCat,SESSort,Socioeconomic_Category,SDNUM,Supervisor_District,Total_Cases,Total_Rate,Age_Adjusted_Rate,Male_Cases,Male_Rate,Female_Cases,Female_Rate,White_Cases,White_Rate,Black_Cases,Black_Rate,Hispanic_Cases,Hispanic_Rate,Asian_Pacific_Islander_Cases,Asian_Pacific_Islander_Rate,Other_Race_Ethnicity_Cases,Other_Race_Ethnicity_Rate,Age_Group_0_to_14_Cases,Age_Group_0_to_14_Rate,Age_Group_15_to_24_Cases,Age_Group_15_to_24_Rate,Age_Group_25_to_44_Cases,Age_Group_25_to_44_Rate,Age_Group_45_to_64_Cases,Age_Group_45_to_64_Rate,Age_Group_65Plus_Cases,Age_Group_65Plus_Rate
Anxiety,Hospitalization,2010,San Diego County (Actual Rate),0,0,COUNTY,99,,99,,99,County Total,483,15.6042377620615,15.2712465508668,199,12.8083085373491,284,18.4220119691185,322,21.4659940655193,25,17.0532060027285,92,9.28029309586543,16,4.6843618435306,11,9.50274715781471,46,7.71594584076972,99,19.9659167683449,127,14.2458930884984,136,17.885558726443,75,21.3416803016291
Anxiety,Hospitalization,2010,Central Region,99,99,REGION CENTRAL,99,,99,,99,Central Region,72,14.8631966607352,15.6243001158923,31,12.5153919134419,41,17.3198210566781,35,24.3664717348928,13,22.9365891527577,19,9.29718197521078,,,,,6,6.6795805223432,6,7.21691645216387,23,14.245278928755,25,23.4266651673601,12,27.7257919179317
Anxiety,Hospitalization,2010,Central San Diego,1,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,35,21.1389675728237,20.2864510977844,13,14.3614670790985,22,29.3134002211829,18,21.873594925326,10,87.0928409684724,6,10.4126895977231,,,,,,,,,14,20.0768657144496,15,39.5277748497945,,
Anxiety,Hospitalization,2010,Mid-City,6,3,CENTRAL,5,Very Urban Area,1,Lowest Income,4,Supervisorial District 4,23,14.1067945682708,17.0465285550086,13,16.0084721760439,10,12.2197103928637,15,32.2927879440258,,,6,8.76360184035639,,,,,,,,,,,8,24.4148075807978,6,46.9373386528984
Anxiety,Hospitalization,2010,Southeastern San Diego,5,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,14,8.9855909630628,9.41173084573477,5,6.58171861836563,9,11.2729686736726,,,,,7,8.94271551944402,,,,,,,,,5,12.1003847922364,,,,
Anxiety,Hospitalization,2010,East Region,99,99,REGION EAST,99,,99,,99,East Region,104,22.4569646821044,21.9675042675715,39,17.1015878166534,65,27.6526318924185,79,28.2890496311681,,,10,8.65021971558078,,,,,11,12.2234445666789,26,37.9423568040861,22,18.1522644949957,29,22.7549138844207,16,28.5969615728329
Anxiety,Hospitalization,2010,Alpine,38,5,EAST,1,Rural Area,5,High Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anxiety,Hospitalization,2010,El Cajon,34,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,22,17.6669932383599,17.794614603181,12,19.6960246856843,10,15.7232704402516,16,21.7214227531903,,,,,,,,,,,7,35.6052899287894,7,21.2044105173876,,,,
Anxiety,Hospitalization,2010,Harbison Crest/El Cajon,37,5,EAST,99,,99,,2,Supervisorial District 2,43,30.8972415230184,30.9183712793839,17,24.9135353772202,26,36.6532741241982,30,35.1728746790475,,,8,22.6976110764342,,,,,,,11,51.1033681765389,13,36.2692854950757,11,29.7820495465006,,
Anxiety,Hospitalization,2010,Jamul,30,5,EAST,1,Rural Area,6,Highest Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anxiety,Hospitalization,2010,La Mesa,33,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,17,28.767725995871,28.0548845615632,7,24.8376680977895,10,32.3509430299893,12,32.3947844397052,,,,,,,,,,,,,,,5,32.5520833333333,6,69.8080279232112
Anxiety,Hospitalization,2010,Laguna-Pine Valley,61,5,EAST,1,Rural Area,3,Moderately Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anxiety,Hospitalization,2010,Lakeside,36,5,EAST,2,Exurban Area,3,Moderately Low Income,2,Supervisorial District 2,7,12.4955373081042,12.0620100128787,,,,,7,17.1371214532279,,,,,,,,,,,,,,,,,,
Anxiety,Hospitalization,2010,Lemon Grove,32,5,EAST,5,Very Urban Area,2,Low Income,2,Supervisorial District 2,8,26.8357317768609,24.6137844108117,,,7,45.7157784743992,6,63.3780500686595,,,,,,,,,,,,,,,,,,
