CONDITION,OUTCOME,YEAR,Geography,SRANum,RegionNum,RegionName,UrbanicitySort,UrbanicityCat,SESSort,Socioeconomic_Category,SDNUM,Supervisor_District,Total_Cases,Total_Rate,Age_Adjusted_Rate,Male_Cases,Male_Rate,Female_Cases,Female_Rate,White_Cases,White_Rate,Black_Cases,Black_Rate,Hispanic_Cases,Hispanic_Rate,Asian_Pacific_Islander_Cases,Asian_Pacific_Islander_Rate,Other_Race_Ethnicity_Cases,Other_Race_Ethnicity_Rate,Age_Group_0_to_14_Cases,Age_Group_0_to_14_Rate,Age_Group_15_to_24_Cases,Age_Group_15_to_24_Rate,Age_Group_25_to_44_Cases,Age_Group_25_to_44_Rate,Age_Group_45_to_64_Cases,Age_Group_45_to_64_Rate,Age_Group_65Plus_Cases,Age_Group_65Plus_Rate
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,San Diego County (Actual Rate),0,0,COUNTY,99,,99,,99,County Total,1086,35.0853047817781,34.6327863248161,654,42.0936371026448,432,28.022215389645,842,56.1315745439976,37,25.2387448840382,118,11.9029846229578,,,15,12.9582915788382,,,85,17.1424537910032,390,43.7472307442077,530,69.7010744486382,79,22.4799032510493
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Central Region,99,99,REGION CENTRAL,99,,99,,99,Central Region,146,30.1392598953796,30.3823313801844,97,39.1610650194796,49,20.6992983360299,104,72.4032302979671,11,19.4078831292565,21,10.2758327094435,,,,,,,12,14.4338329043277,57,35.3035173451755,68,63.7205292552195,9,20.7943439384487
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Central San Diego,1,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,87,52.545433681019,51.3945872849212,55,60.7600530269554,32,42.6376730489933,66,80.2031813928619,,,11,19.089930929159,,,,,,,,,33,47.3240406126312,43,113.312954569411,7,45.0392484879681
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Mid-City,6,3,CENTRAL,5,Very Urban Area,1,Lowest Income,4,Supervisorial District 4,37,22.6935390880877,22.1223284990178,23,28.3226815422316,14,17.1075945500092,27,58.1270182992465,,,7,10.2242021470825,,,,,,,7,21.0336538461538,16,31.7435124196492,13,39.6740623187964,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Southeastern San Diego,5,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,22,14.1202143705273,14.4362347893572,19,25.0105307497894,,,11,73.8304584200282,8,30.9142901306129,,,,,,,,,,,8,19.3606156675782,12,33.3324074331269,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,East Region,99,99,REGION EAST,99,,99,,99,East Region,184,39.7315528991078,38.9319199137288,103,45.1657319260334,81,34.4594335890138,142,50.848671488935,9,33.8625931221311,20,17.3004394311616,,,,,,,10,14.5932141554177,77,63.5329257324851,89,69.8340460590843,8,14.2984807864164
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Alpine,38,5,EAST,1,Rural Area,5,High Income,2,Supervisorial District 2,8,53.2091785833056,51.403606289741,,,,,7,59.2667852002371,,,,,,,,,,,,,,,,,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,El Cajon,34,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,38,30.5157155935307,28.9812347393078,22,36.1093785904212,16,25.1572327044025,31,42.0852565843063,,,,,,,,,,,,,10,30.2920150248395,23,72.5574939272532,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Harbison Crest/El Cajon,37,5,EAST,99,,99,,2,Supervisorial District 2,63,45.2680515337247,43.5609803810828,38,55.6890790784923,25,35.243532811729,53,62.1387452663173,,,,,,,,,,,,,21,58.5888457997377,36,97.4685257885475,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Jamul,30,5,EAST,1,Rural Area,6,Highest Income,2,Supervisorial District 2,11,58.0229982065619,60.2655048384096,9,82.5763831544178,,,8,76.3067531476536,,,,,,,,,,,,,8,166.805671392827,,,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,La Mesa,33,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,32,54.1510136392866,52.936623938263,16,56.7718127949473,16,51.7615088479829,25,67.4891342493859,,,5,42.1834134818189,,,,,,,,,14,81.9816126954383,17,110.677083333333,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Laguna-Pine Valley,61,5,EAST,1,Rural Area,3,Moderately Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Lakeside,36,5,EAST,2,Exurban Area,3,Moderately Low Income,2,Supervisorial District 2,18,32.1313816494109,32.4086399518467,7,25.2671094426798,11,38.8472948156519,14,34.2742429064558,,,,,,,,,,,,,8,55.2371746185183,9,56.1622464898596,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Lemon Grove,32,5,EAST,5,Very Urban Area,2,Low Income,2,Supervisorial District 2,14,46.9625306095066,47.2394257874226,6,41.3821642871922,8,52.2466039707419,5,52.815041723883,,,6,47.9731350443751,,,,,,,,,9,112.163509471585,5,65.4278984559016,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Mountain Empire,62,5,EAST,1,Rural Area,2,Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Santee,35,5,EAST,3,Suburban Area,4,Moderately High Income,2,Supervisorial District 2,20,39.0999198451643,38.0679050177152,14,56.5291124929339,6,22.740193291643,17,44.7639360665666,,,,,,,,,,,,,8,57.6784426820476,8,54.2336112805911,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Spring Valley,31,5,EAST,4,Urban Area,4,Moderately High Income,2,Supervisorial District 2,13,16.0491845779682,16.6140397325031,5,12.6842385651589,8,19.2390938386802,9,23.524491609598,,,,,,,,,,,,,,,5,23.183567487365,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,North Central Region,99,99,REGION N CENTRAL,99,,99,,99,North Central Region,213,35.2678785791515,34.4737296360256,141,46.1497674509945,72,24.1269075336269,169,46.2900826921655,,,16,18.677842242275,,,,,,,22,21.4454214025306,84,43.7579767145052,92,64.3608685918961,14,19.4774478978269
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Coastal,11,2,N CENTRAL,3,Suburban Area,5,High Income,4,Supervisorial District 4,41,54.3946932006633,55.8452690840081,26,66.9378507800834,15,41.0587687843867,31,50.9608587726653,,,,,,,,,,,5,44.8712195997487,19,68.6093958762142,15,91.1854103343465,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Del Mar-Mira Mesa,13,2,N CENTRAL,3,Suburban Area,6,Highest Income,3,Supervisorial District 3,30,19.0392780305771,17.3836390892352,19,24.0296449936132,11,14.0127388535032,26,34.2307945494043,,,,,,,,,,,5,25.9080781387637,10,21.0375731055665,15,33.4866276733491,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Elliott-Navajo,17,2,N CENTRAL,2,Exurban Area,5,High Income,3,Supervisorial District 3,38,42.6458375418041,43.279617779618,24,55.5118656612851,14,30.5197070108127,32,53.2561119709754,,,,,,,,,,,,,17,67.5273088381331,15,66.7022411953042,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Kearny Mesa,10,2,N CENTRAL,4,Urban Area,3,Moderately Low Income,4,Supervisorial District 4,65,42.987143537379,42.56519424141,42,55.7420998845342,23,30.3186090349455,50,59.2817424089729,,,5,14.9316132114914,,,,,,,7,29.7151589761005,24,48.2703137570394,28,78.5898731334905,6,31.47128245476
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Miramar,16,2,N CENTRAL,99,,99,,3,Supervisorial District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Peninsula,2,2,N CENTRAL,4,Urban Area,3,Moderately Low Income,4,Supervisorial District 4,21,33.3672302021101,36.5786707451356,17,49.7323230845742,,,15,31.2741071242416,,,,,,,,,,,,,8,38.017392957278,10,69.851913942442,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,University,12,2,N CENTRAL,4,Urban Area,4,Moderately High Income,3,Supervisorial District 3,18,28.6957769381606,37.9730844390317,13,41.8410041841004,5,15.7942951006097,15,45.5567029095548,,,,,,,,,,,,,6,30.3859009419629,9,97.9431929480901,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,North Coastal Region,99,99,REGION N COASTAL,99,,99,,99,North Coastal Region,227,44.8754064980379,45.0980126777077,129,50.0323853036655,98,39.5142170540135,189,63.1811192083974,12,82.6275562900227,13,9.02953352040675,,,,,,,17,20.3057811753464,71,52.0066509914226,112,89.6272466829916,27,45.2997332349043
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Carlsbad,41,1,N COASTAL,3,Suburban Area,5,High Income,5,Supervisorial District 5,66,57.5353929841691,53.8127367954533,39,69.9288160513529,27,45.8085203847916,53,62.8148148148148,,,,,,,,,,,5,40.9098347242677,19,63.1271180809356,35,107.306006070454,7,39.2949365667453
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Oceanside,42,1,N COASTAL,3,Suburban Area,3,Moderately Low Income,5,Supervisorial District 5,72,45.0788880540947,45.6052719738245,45,56.7780357323105,27,33.5553788029429,54,72.7351095067482,7,100.908173562059,8,13.3558156229653,,,,,,,5,19.7176433472671,27,60.4486634128868,36,92.0151313771598,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Pendleton,43,1,N COASTAL,99,,99,,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,San Dieguito,40,1,N COASTAL,2,Exurban Area,6,Highest Income,3,Supervisorial District 3,45,48.1139337952271,46.4777953815527,21,45.6402677562375,24,50.5093021298089,41,55.9032464787772,,,,,,,,,,,5,53.3049040511727,11,44.6012245063455,16,54.53306066803,13,98.2763834290898
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Vista,52,1,N COASTAL,3,Suburban Area,2,Low Income,5,Supervisorial District 5,43,42.8146127268926,43.6700423693719,24,47.3363444507998,19,38.2047776079788,40,91.2075884713608,,,,,,,,,,,,,13,45.2835446565417,25,106.094041758615,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,North Inland Region,99,99,REGION N INLAND,99,,99,,99,North Inland Region,232,40.7369167772885,39.8694311581178,131,46.7028167859193,101,34.9467667320621,188,59.7231134802691,,,19,11.5839531764419,,,,,,,20,25.9443752594438,74,49.8531353579994,119,78.1296163770181,18,24.9476791728458
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Anza-Borrego Springs,63,6,N INLAND,1,Rural Area,1,Lowest Income,5,Supervisorial District 5,6,135.135135135135,202.069634477316,,,,,5,178.380306814128,,,,,,,,,,,,,,,,,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Escondido,50,6,N INLAND,2,Exurban Area,3,Moderately Low Income,3,Supervisorial District 3,50,30.6708951607462,31.1035886997824,31,38.3326532378727,19,23.1284236153378,39,54.8523206751055,,,5,6.74672783699906,,,,,,,,,17,37.5508040289804,27,70.3253197197406,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Fallbrook,55,6,N INLAND,1,Rural Area,4,Moderately High Income,5,Supervisorial District 5,20,42.2797226450194,47.5445696955123,11,46.7130966536436,9,37.8851658528372,13,47.6103277787951,,,,,,,,,,,,,10,100.140196274785,9,68.3060109289618,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,North San Diego,14,6,N INLAND,3,Suburban Area,6,Highest Income,3,Supervisorial District 3,36,33.7894914681534,34.2448804882547,17,33.0116317455386,19,34.5172131892088,32,51.0708927830445,,,,,,,,,,,10,87.3743993010048,7,22.7014755959137,17,58.7259914329142,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Palomar-Julian,60,6,N INLAND,1,Rural Area,2,Low Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Pauma,54,6,N INLAND,1,Rural Area,5,High Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Poway,15,6,N INLAND,2,Exurban Area,6,Highest Income,2,Supervisorial District 2,43,49.8198375641575,48.5684106613842,31,73.5119753379179,12,27.185609750572,36,62.1075150093161,,,,,,,,,,,,,11,52.8769888958323,19,70.7187255741244,9,83.1792975970425
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Ramona,39,6,N INLAND,1,Rural Area,5,High Income,2,Supervisorial District 2,26,74.56266131345,58.4812856076869,9,51.331774368334,17,98.056180423372,26,104.690960338232,,,,,,,,,,,,,,,22,199.673261935015,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,San Marcos,51,6,N INLAND,3,Suburban Area,3,Moderately Low Income,5,Supervisorial District 5,34,37.7924748513311,39.0351375289841,16,36.3669424493136,18,39.1568230764211,28,61.6237867816977,,,,,,,,,,,,,16,63.3562999920805,17,83.4273936300731,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Valley Center,53,6,N INLAND,1,Rural Area,5,High Income,5,Supervisorial District 5,10,42.863266180883,49.8103703544818,7,59.7881790228903,,,,,,,,,,,,,,,,,6,129.226793021753,,,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,South Region,99,99,REGION SOUTH,99,,99,,99,South Region,84,17.9301365038368,18.0915225062272,53,22.6420253078034,31,13.2248610323071,50,50.9517792361309,,,29,10.441946378805,,,,,,,,,27,20.4686564222305,50,47.1644719465721,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Chula Vista,21,4,SOUTH,5,Very Urban Area,1,Lowest Income,1,Supervisorial District 1,29,25.1661835916483,25.2431673379176,16,28.8075475774653,13,21.7780979344312,16,74.8993539930718,,,12,14.7537960287699,,,,,,,,,10,32.2830578512397,16,60.4663466989154,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Coronado,3,4,SOUTH,2,Exurban Area,6,Highest Income,1,Supervisorial District 1,5,20.2437345641524,21.0468625077903,,,,,,,,,,,,,,,,,,,,,,,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,National City,4,4,SOUTH,5,Very Urban Area,1,Lowest Income,1,Supervisorial District 1,5,8.57368222504201,9.76417093365497,5,16.66500016665,,,,,,,,,,,,,,,,,,,,,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,South Bay,22,4,SOUTH,3,Suburban Area,2,Low Income,1,Supervisorial District 1,29,21.4951747038854,22.2726571265867,22,32.3244196297385,7,10.4705776767284,16,77.9537149817296,,,11,11.9006404708326,,,,,,,,,10,26.3601855757065,17,55.5573711559201,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Sweetwater,20,4,SOUTH,3,Suburban Area,6,Highest Income,1,Supervisorial District 1,16,11.8238250073899,11.6475810486598,9,13.6508418019111,7,10.0879089205937,11,34.880771182141,,,,,,,,,,,,,5,12.291052114061,10,31.3087038196619,,
Chronic Alcohol,Hospitalization,01/01/2010 12:00:00 AM,Unknown,99,99,UNKNOWN,99,,99,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,San Diego County (Actual Rate),0,0,COUNTY,99,,99,,99,County Total,982,31.5166842650868,31.3410238785621,554,35.449420587539,428,27.5592072220577,724,48.4092480385562,32,22.3924985129981,128,12.6634374901067,8,2.29407783806105,36,30.5563807664559,,,63,12.6368490518352,393,44.1114571933664,458,59.4056837490434,68,18.7893055693712
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,Central Region,99,99,REGION CENTRAL,99,,99,,99,Central Region,139,28.6262686173718,28.6931930346269,100,40.3069779440217,39,16.4229888155235,88,61.8346625443558,13,23.6975463925043,26,12.510826676932,,,5,31.1934618503962,,,7,8.71741864780383,69,42.4393394224559,52,47.913019441629,11,24.9648222958558
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,Central San Diego,1,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,78,46.9975778171433,40.3713502084535,55,60.7177947296954,23,30.5108578857302,46,56.2003665241295,6,53.9859636494511,17,28.9864957031783,,,,,,,,,47,66.747141944188,26,67.2390607220441,,
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,Mid-City,6,3,CENTRAL,5,Very Urban Area,1,Lowest Income,4,Supervisorial District 4,40,24.510404666781,28.2500524761056,31,38.1435180628015,9,10.9857917093892,32,69.948413045379,,,,,,,,,,,,,15,29.6015629625244,12,35.8401529179858,9,69.7296040908034
