CONDITION,OUTCOME,YEAR,Geography,SRANum,RegionNum,RegionName,UrbanicitySort,UrbanicityCat,SESSort,Socioeconomic_Category,SDNUM,Supervisor_District,Total_Cases,Total_Rate,Age_Adjusted_Rate,Male_Cases,Male_Rate,Female_Cases,Female_Rate,White_Cases,White_Rate,Black_Cases,Black_Rate,Hispanic_Cases,Hispanic_Rate,Asian_Pacific_Islander_Cases,Asian_Pacific_Islander_Rate,Other_Race_Ethnicity_Cases,Other_Race_Ethnicity_Rate,Age_Group_0_to_14_Cases,Age_Group_0_to_14_Rate,Age_Group_15_to_24_Cases,Age_Group_15_to_24_Rate,Age_Group_25_to_44_Cases,Age_Group_25_to_44_Rate,Age_Group_45_to_64_Cases,Age_Group_45_to_64_Rate,Age_Group_65Plus_Cases,Age_Group_65Plus_Rate
Chronic Substance,Hospitalization,01/01/2010 12:00:00 AM,San Diego County (Actual Rate),0,0,COUNTY,99,,99,,99,County Total,707,22.8409857096843,21.8590884095113,435,27.9980613756123,272,17.6436170971839,485,32.3323202539654,19,12.9604365620737,123,12.4073483781679,6,1.75663569132398,18,15.5499498946059,,,236,47.5955187609031,288,32.3056473187995,160,21.0418337958153,19,5.40655900974603
Chronic Substance,Hospitalization,01/01/2010 12:00:00 AM,Central Region,99,99,REGION CENTRAL,99,,99,,99,Central Region,84,17.340396104191,16.7737956283327,51,20.5898383092109,33,13.9403437773262,48,33.4168755221387,10,17.6435301175059,16,7.82920587386171,,,,,,,17,20.4479299477976,35,21.6775983698446,29,27.1749315941377,,
Chronic Substance,Hospitalization,01/01/2010 12:00:00 AM,Central San Diego,1,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,46,27.7826430957112,26.5402813056282,30,33.141847105612,16,21.3188365244967,29,35.2407918241363,,,10,17.3544826628718,,,,,,,7,30.4480208786429,13,18.6428038777032,23,60.6092547696848,,
Chronic Substance,Hospitalization,01/01/2010 12:00:00 AM,Mid-City,6,3,CENTRAL,5,Very Urban Area,1,Lowest Income,4,Supervisorial District 4,22,13.4934556739981,12.6085051562446,13,16.0084721760439,9,10.9977393535773,14,30.1399354144241,,,,,,,,,,,5,15.0240384615385,14,27.7755733671931,,,,
Chronic Substance,Hospitalization,01/01/2010 12:00:00 AM,Southeastern San Diego,5,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,16,10.2692468149289,10.7423041402563,8,10.530749789385,8,10.0204165988201,5,33.559299281831,5,19.321431331633,,,,,,,,,5,18.6094982879262,8,19.3606156675782,,,,
Chronic Substance,Hospitalization,01/01/2010 12:00:00 AM,East Region,99,99,REGION EAST,99,,99,,99,East Region,101,21.8091676239668,22.110930642852,55,24.1176238439984,46,19.5695548777116,67,23.9919788011172,5,18.8125517345173,17,14.7053735164873,,,,,,,34,49.6169281284203,44,36.3045289899915,19,14.9083918553101,,
Chronic Substance,Hospitalization,01/01/2010 12:00:00 AM,Alpine,38,5,EAST,1,Rural Area,5,High Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic Substance,Hospitalization,01/01/2010 12:00:00 AM,El Cajon,34,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,27,21.6822189743507,21.2278347016263,17,27.9027016380527,10,15.7232704402516,13,17.6486559869671,,,6,18.100639555931,,,,,,,13,66.1241098677518,8,24.2336120198716,6,18.9280418940661,,
Chronic Substance,Hospitalization,01/01/2010 12:00:00 AM,Harbison Crest/El Cajon,37,5,EAST,99,,99,,2,Supervisorial District 2,45,32.3343225240891,32.6281236962363,26,38.1030541063368,19,26.7850849369141,26,30.4831580551745,,,9,25.5348124609885,,,,,,,16,74.3321718931475,17,47.4290656474067,9,24.3671314471369,,
Chronic Substance,Hospitalization,01/01/2010 12:00:00 AM,Jamul,30,5,EAST,1,Rural Area,6,Highest Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
