CONDITION,OUTCOME,YEAR,Geography,SRANum,RegionNum,RegionName,UrbanicitySort,UrbanicityCat,SESSort,Socioeconomic_Category,SDNUM,Supervisor_District,Total_Cases,Total_Rate,Age_Adjusted_Rate,Male_Cases,Male_Rate,Female_Cases,Female_Rate,White_Cases,White_Rate,Black_Cases,Black_Rate,Hispanic_Cases,Hispanic_Rate,Asian_Pacific_Islander_Cases,Asian_Pacific_Islander_Rate,Other_Race_Ethnicity_Cases,Other_Race_Ethnicity_Rate,Age_Group_0_to_14_Cases,Age_Group_0_to_14_Rate,Age_Group_15_to_24_Cases,Age_Group_15_to_24_Rate,Age_Group_25_to_44_Cases,Age_Group_25_to_44_Rate,Age_Group_45_to_64_Cases,Age_Group_45_to_64_Rate,Age_Group_65Plus_Cases,Age_Group_65Plus_Rate
Impulse Disorder,Hospitalization,2010,San Diego County (Actual Rate),0,0,COUNTY,99,,99,,99,County Total,250,8.07672762011467,8.23861047347978,175,11.2635879097291,75,4.86496794959115,150,9.99968667648414,25,17.0532060027285,45,4.5392737968907,11,3.22049876742729,16,13.8221776840941,109,18.283436883563,95,19.159213060533,16,1.79475818437775,6,0.789068767343074,24,6.82933769652131
Impulse Disorder,Hospitalization,2010,Central Region,99,99,REGION CENTRAL,99,,99,,99,Central Region,37,7.63803161732223,7.42386366448637,18,7.26700175619209,19,8.02625853846056,11,7.65803397382345,10,17.6435301175059,8,3.91460293693085,,,6,37.8357926598562,9,10.0193707835148,17,20.4479299477976,6,3.71615972054479,,,,
Impulse Disorder,Hospitalization,2010,Central San Diego,1,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,16,9.66352803329085,9.15181133837632,6,6.6283694211224,10,13.3242728278104,,,,,,,,,6,105.689624801832,,,10,43.4971726837756,5,7.170309183732,,,,
Impulse Disorder,Hospitalization,2010,Mid-City,6,3,CENTRAL,5,Very Urban Area,1,Lowest Income,4,Supervisorial District 4,15,9.20008341408962,9.56034237944444,8,9.85136749295011,7,8.55379727500458,7,15.0699677072121,5,25.8825965420851,,,,,,,6,17.7472787505916,,,,,,,,
Impulse Disorder,Hospitalization,2010,Southeastern San Diego,5,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,6,3.85096755559834,3.52165097141464,,,,,,,,,,,,,,,,,,,,,,,,
Impulse Disorder,Hospitalization,2010,East Region,99,99,REGION EAST,99,,99,,99,East Region,55,11.8762793991898,12.1370503789351,44,19.2940990751988,11,4.67967616640928,34,12.1750340184774,,,9,7.7851977440227,,,6,28.5823170731707,19,21.1132224333544,27,39.4016782196279,,,,,,
Impulse Disorder,Hospitalization,2010,Alpine,38,5,EAST,1,Rural Area,5,High Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impulse Disorder,Hospitalization,2010,El Cajon,34,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,17,13.651767502369,13.9659857717867,16,26.261366247579,,,9,12.2183002986696,,,5,15.0838662966091,,,,,10,39.2341494036409,6,30.5188199389624,,,,,,
Impulse Disorder,Hospitalization,2010,Harbison Crest/El Cajon,37,5,EAST,99,,99,,2,Supervisorial District 2,23,16.5264315123122,16.943566265632,22,32.241045782285,,,11,12.8967207156508,,,6,17.0232083073257,,,,,12,43.2292229547174,9,41.8118466898955,,,,,,
Impulse Disorder,Hospitalization,2010,Jamul,30,5,EAST,1,Rural Area,6,Highest Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
