CONDITION,OUTCOME,YEAR,Geography,SRANum,RegionNum,RegionName,UrbanicitySort,UrbanicityCat,SESSort,Socioeconomic_Category,SDNUM,Supervisor_District,Total_Cases,Total_Rate,Age_Adjusted_Rate,Male_Cases,Male_Rate,Female_Cases,Female_Rate,White_Cases,White_Rate,Black_Cases,Black_Rate,Hispanic_Cases,Hispanic_Rate,Asian_Pacific_Islander_Cases,Asian_Pacific_Islander_Rate,Other_Race_Ethnicity_Cases,Other_Race_Ethnicity_Rate,Age_Group_0_to_14_Cases,Age_Group_0_to_14_Rate,Age_Group_15_to_24_Cases,Age_Group_15_to_24_Rate,Age_Group_25_to_44_Cases,Age_Group_25_to_44_Rate,Age_Group_45_to_64_Cases,Age_Group_45_to_64_Rate,Age_Group_65Plus_Cases,Age_Group_65Plus_Rate
Overdose/Poisoning,Hospitalization,2010,San Diego County (Actual Rate),0,0,COUNTY,99,,99,,99,County Total,2433,78.602713198956,77.3265112108603,1088,70.0273351187729,1345,87.2450918960013,1620,107.996616106029,189,128.922237380628,425,42.8709191928566,100,29.2772615220663,67,57.8803690521442,65,10.9029669489137,326,65.7463521866712,664,74.4824646516767,910,119.6754297137,468,133.172085082165
Overdose/Poisoning,Hospitalization,2010,Central Region,99,99,REGION CENTRAL,99,,99,,99,Central Region,478,98.675111164325,99.7053652796326,249,100.526857627324,229,96.7375371214457,243,169.172932330827,94,165.849183104556,111,54.3151157499156,21,32.874653642042,,,16,17.8122147262485,49,58.938151026005,150,92.9039930136197,206,193.035720979047,57,131.697511610175
Overdose/Poisoning,Hospitalization,2010,Central San Diego,1,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,207,125.0218939307,121.88269671669,115,127.043747238179,92,122.583310015856,131,159.19116306765,29,252.56923880857,38,65.9470341189129,5,58.8304506412519,,,,,17,73.9451935624184,65,93.214019388516,95,250.342574048698,28,180.156993951872
Overdose/Poisoning,Hospitalization,2010,Mid-City,6,3,CENTRAL,5,Very Urban Area,1,Lowest Income,4,Supervisorial District 4,157,96.2942064008047,102.765791484313,87,107.133621485832,70,85.5379727500458,76,163.616792249731,33,170.825137177762,32,46.7392098152341,11,46.699214604118,,,9,26.6209181258874,15,45.0721153846154,51,101.182445837632,61,186.162907803583,21,164.280685285144
Overdose/Poisoning,Hospitalization,2010,Southeastern San Diego,5,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,114,73.1683835563685,73.983958598385,47,61.8681550126369,67,83.9209890151183,36,241.626954829183,32,123.657160522451,41,52.3787623281721,5,15.7109190887667,,,5,13.639215472326,17,63.2722941789489,34,82.2826165872075,50,138.885030971362,8,53.4902380315592
Overdose/Poisoning,Hospitalization,2010,East Region,99,99,REGION EAST,99,,99,,99,East Region,518,111.852958705097,106.652251704507,225,98.6630066345391,293,124.649556068902,390,139.654801976653,38,142.975393182331,66,57.0914501228331,7,33.8589532746445,13,61.9283536585366,16,17.7795557333511,66,96.315213425757,122,100.662557654067,223,174.977441249166,91,162.645218945487
Overdose/Poisoning,Hospitalization,2010,Alpine,38,5,EAST,1,Rural Area,5,High Income,2,Supervisorial District 2,21,139.674093781177,124.881144711001,9,120.659605845288,12,158.394931362196,20,169.333672000677,,,,,,,,,,,,,,,11,225.872689938398,,
Overdose/Poisoning,Hospitalization,2010,El Cajon,34,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,129,103.592823988565,101.692634275974,56,91.9147818665266,73,114.779874213836,101,137.116481129514,8,114.318376679051,16,48.2683721491493,,,,,6,23.5404896421846,12,61.0376398779247,31,93.9052465770023,60,189.280418940661,20,136.360537260517
Overdose/Poisoning,Hospitalization,2010,Harbison Crest/El Cajon,37,5,EAST,99,,99,,2,Supervisorial District 2,208,149.456424111345,146.190838755262,82,120.171170643062,126,177.627405371114,162,189.933523266857,15,210.585427488418,23,65.2556318447484,,,,,7,25.2170467235851,25,116.144018583043,57,159.026867170717,88,238.256396372005,31,181.191185925536
Overdose/Poisoning,Hospitalization,2010,Jamul,30,5,EAST,1,Rural Area,6,Highest Income,2,Supervisorial District 2,11,58.0229982065619,68.1463692648276,,,9,111.676386648468,8,76.3067531476536,,,,,,,,,,,,,,,,,5,251.889168765743
Overdose/Poisoning,Hospitalization,2010,La Mesa,33,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,78,131.993095745761,119.414318061168,34,120.640102189263,44,142.344149331953,53,143.076964608698,8,193.143408981169,12,101.240192356365,,,,,6,62.3182384711259,8,94.8541617263458,13,76.1257832171927,34,221.354166666667,17,197.789412449098
Overdose/Poisoning,Hospitalization,2010,Laguna-Pine Valley,61,5,EAST,1,Rural Area,3,Moderately Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overdose/Poisoning,Hospitalization,2010,Lakeside,36,5,EAST,2,Exurban Area,3,Moderately Low Income,2,Supervisorial District 2,46,82.1135308818279,80.3753478735249,25,90.2396765809991,21,74.1630173753355,34,83.2374470585355,,,11,106.146868667374,,,,,,,,,15,103.569702409722,21,131.045241809672,7,116.04774535809
Overdose/Poisoning,Hospitalization,2010,Lemon Grove,32,5,EAST,5,Very Urban Area,2,Low Income,2,Supervisorial District 2,27,90.5705947469055,89.4571596301486,10,68.970273811987,17,111.024033437827,19,200.697158550755,,,,,,,,,,,7,153.374233128834,,,7,91.5990578382622,8,241.545893719807
Overdose/Poisoning,Hospitalization,2010,Mountain Empire,62,5,EAST,1,Rural Area,2,Low Income,2,Supervisorial District 2,9,118.592699960469,94.4576199846689,,,6,171.184022824536,5,120.80212611742,,,,,,,,,,,,,,,5,219.78021978022,,
Overdose/Poisoning,Hospitalization,2010,Santee,35,5,EAST,3,Suburban Area,4,Moderately High Income,2,Supervisorial District 2,54,105.569783581944,98.5578443826546,27,109.020431236372,27,102.330869812393,43,113.226426521316,,,8,98.3525940496681,,,,,,,11,157.187767933695,11,79.3078586878154,25,169.480035251847,7,122.44184012594
Overdose/Poisoning,Hospitalization,2010,Spring Valley,31,5,EAST,4,Urban Area,4,Moderately High Income,2,Supervisorial District 2,61,75.307712250466,70.578770391499,31,78.6422791039854,30,72.1466018950507,44,115.008625646924,7,90.3458957150232,7,26.8693382465838,,,,,,,8,66.1977658254034,12,56.9746462824043,31,143.738118421663,9,95.6226094347641
Overdose/Poisoning,Hospitalization,2010,North Central Region,99,99,REGION N CENTRAL,99,,99,,99,North Central Region,342,56.6272980003278,55.2439342108182,145,47.4589807120156,197,66.0138997795069,262,71.7633234635938,10,53.2850215804337,29,33.8535890641234,18,16.6181969256336,14,53.6090369519433,5,5.28675351040433,49,47.7648022147272,107,55.7393274815722,103,72.0561898365794,78,108.517209716464
Overdose/Poisoning,Hospitalization,2010,Coastal,11,2,N CENTRAL,3,Suburban Area,5,High Income,4,Supervisorial District 4,60,79.6019900497512,67.8993865469291,31,79.8105143916379,29,79.380286316481,56,92.0583255248146,,,,,,,,,,,5,44.8712195997487,15,54.1653125338533,15,91.1854103343465,24,193.595224651125
Overdose/Poisoning,Hospitalization,2013,Laguna-Pine Valley,61,5,EAST,1,Rural Area,3,Moderately Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overdose/Poisoning,Hospitalization,2010,Del Mar-Mira Mesa,13,2,N CENTRAL,3,Suburban Area,6,Highest Income,3,Supervisorial District 3,55,34.905343056058,38.1041249424741,19,24.0296449936132,36,45.859872611465,35,46.0799157395826,,,,,8,14.5639905334062,5,69.608798552137,,,11,56.9977719052801,17,35.7638742794631,15,33.4866276733491,11,80.7991773174673
Overdose/Poisoning,Hospitalization,2010,Elliott-Navajo,17,2,N CENTRAL,2,Exurban Area,5,High Income,3,Supervisorial District 3,60,67.3355329607434,65.5504501669828,28,64.7638432714993,32,69.759330310429,43,71.5629004609982,5,124.347177319075,8,61.6570327552987,,,,,,,8,72.1175516091229,18,71.4995034756703,19,84.4895055140519,14,105.382009785472
Overdose/Poisoning,Hospitalization,2010,Kearny Mesa,10,2,N CENTRAL,4,Urban Area,3,Moderately Low Income,4,Supervisorial District 4,114,75.3928363578647,73.5337657109219,43,57.0692927389279,71,93.5922278904839,82,97.2220575507155,,,13,38.8221943498776,5,25.2206809583859,6,87.7449546651068,,,19,80.6554315065586,42,84.473049074819,32,89.8169978668463,19,99.6590611067401
Overdose/Poisoning,Hospitalization,2010,Miramar,16,2,N CENTRAL,99,,99,,3,Supervisorial District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overdose/Poisoning,Hospitalization,2010,Peninsula,2,2,N CENTRAL,4,Urban Area,3,Moderately Low Income,4,Supervisorial District 4,35,55.6120503368501,57.1619878208988,18,52.657753854255,17,59.1242652940563,33,68.8030356733315,,,,,,,,,,,,,12,57.0260894359169,13,90.8074881251746,7,96.8456004427228
Overdose/Poisoning,Hospitalization,2010,University,12,2,N CENTRAL,4,Urban Area,4,Moderately High Income,3,Supervisorial District 3,18,28.6957769381606,36.2498532091084,6,19.311232700354,12,37.9063082414632,13,39.4824758549475,,,,,,,,,,,,,,,9,97.9431929480901,,
Overdose/Poisoning,Hospitalization,2010,North Coastal Region,99,99,REGION N COASTAL,99,,99,,99,North Coastal Region,379,74.9241368403365,74.0702124006364,159,61.6678237463785,220,88.7053852232957,291,97.2788660827706,15,103.284445362528,40,27.78318006279,12,39.9587093336885,16,88.0136421145278,7,6.9280178940805,58,69.2785475394171,100,73.2488042132712,122,97.6296794225445,92,154.354646578192
Overdose/Poisoning,Hospitalization,2010,Carlsbad,41,1,N COASTAL,3,Suburban Area,5,High Income,5,Supervisorial District 5,68,59.2788897412651,57.0972313775957,23,41.240071004644,45,76.3475339746526,61,72.2962962962963,,,,,,,,,,,8,65.4557355588283,19,63.1271180809356,24,73.5812613054542,15,84.2034355001684
Overdose/Poisoning,Hospitalization,2010,Oceanside,42,1,N COASTAL,3,Suburban Area,3,Moderately Low Income,5,Supervisorial District 5,155,97.0448284497871,97.0658786010806,72,90.8448571716968,83,103.151720023862,110,148.164111958191,10,144.154533660084,15,25.04215429306,7,57.1242043414395,11,172.19787100814,,,21,82.814102058522,43,96.2700935834863,44,112.462938349862,43,233.214014535199
Overdose/Poisoning,Hospitalization,2010,Pendleton,43,1,N COASTAL,99,,99,,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overdose/Poisoning,Hospitalization,2010,San Dieguito,40,1,N COASTAL,2,Exurban Area,6,Highest Income,3,Supervisorial District 3,53,56.6675220254897,54.8235574459468,20,43.4669216726071,33,69.4502904284873,50,68.1746908277771,,,,,,,,,,,10,106.609808102345,10,40.5465677330414,18,61.3496932515337,15,113.395827033565
Overdose/Poisoning,Hospitalization,2010,Vista,52,1,N COASTAL,3,Suburban Area,2,Low Income,5,Supervisorial District 5,102,101.560244142861,103.696498125008,43,84.8109504743496,59,118.635888361618,69,157.333090113097,5,184.70631695604,23,49.2832501232081,,,,,,,18,107.411385606874,28,97.533788491013,36,152.775420132405,19,188.230632058649
Overdose/Poisoning,Hospitalization,2010,North Inland Region,99,99,REGION N INLAND,99,,99,,99,North Inland Region,353,61.9833259585467,60.2586457838846,131,46.7028167859193,222,76.8136852922553,282,89.5846702204037,9,86.9565217391304,38,23.1679063528838,12,20.2843185314153,11,51.9039305431039,6,5.01999631866937,50,64.8609381486094,83,55.9163545231615,134,87.9778873489111,80,110.878574101537
Overdose/Poisoning,Hospitalization,2010,Anza-Borrego Springs,63,6,N INLAND,1,Rural Area,1,Lowest Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overdose/Poisoning,Hospitalization,2010,Escondido,50,6,N INLAND,2,Exurban Area,3,Moderately Low Income,3,Supervisorial District 3,111,68.0893872568565,70.4821026964953,45,55.6441740549764,66,80.3408399269629,89,125.175808720113,,,19,25.6375657805964,,,,,,,11,42.9067363576081,33,72.8927372327266,39,101.581017372959,26,148.351021339724
Overdose/Poisoning,Hospitalization,2010,Fallbrook,55,6,N INLAND,1,Rural Area,4,Moderately High Income,5,Supervisorial District 5,36,76.103500761035,69.483720620569,12,50.9597418039749,24,101.027108940899,27,98.8829884636513,,,7,40.6173842404549,,,,,,,,,7,70.0981373923493,17,129.022465088039,8,97.7517106549365
