CONDITION,OUTCOME,YEAR,Geography,SRANum,RegionNum,RegionName,UrbanicitySort,UrbanicityCat,SESSort,Socioeconomic_Category,SDNUM,Supervisor_District,Total_Cases,Total_Rate,Age_Adjusted_Rate,Male_Cases,Male_Rate,Female_Cases,Female_Rate,White_Cases,White_Rate,Black_Cases,Black_Rate,Hispanic_Cases,Hispanic_Rate,Asian_Pacific_Islander_Cases,Asian_Pacific_Islander_Rate,Other_Race_Ethnicity_Cases,Other_Race_Ethnicity_Rate,Age_Group_0_to_14_Cases,Age_Group_0_to_14_Rate,Age_Group_15_to_24_Cases,Age_Group_15_to_24_Rate,Age_Group_25_to_44_Cases,Age_Group_25_to_44_Rate,Age_Group_45_to_64_Cases,Age_Group_45_to_64_Rate,Age_Group_65Plus_Cases,Age_Group_65Plus_Rate
Personality Disorders,Hospitalization,2010,San Diego County (Actual Rate),0,0,COUNTY,99,,99,,99,County Total,48,1.55073170306202,1.53621218876795,18,1.15854047071499,30,1.94598717983646,36,2.39992480235619,,,7,0.706109257294109,,,,,,,10,2.01675926952979,16,1.79475818437775,18,2.36720630202922,,
Personality Disorders,Hospitalization,2010,Central Region,99,99,REGION CENTRAL,99,,99,,99,Central Region,6,1.23859972172793,1.1985167115973,,,,,6,4.17710944026734,,,,,,,,,,,,,,,,,,
Personality Disorders,Hospitalization,2010,Central San Diego,1,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,5,3.01985251040339,2.96262665655473,,,,,5,6.07599859036833,,,,,,,,,,,,,,,,,,
Personality Disorders,Hospitalization,2010,Mid-City,6,3,CENTRAL,5,Very Urban Area,1,Lowest Income,4,Supervisorial District 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personality Disorders,Hospitalization,2010,Southeastern San Diego,5,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personality Disorders,Hospitalization,2010,East Region,99,99,REGION EAST,99,,99,,99,East Region,15,3.23898529068813,3.01852291113635,7,3.06951576196344,8,3.40340084829766,10,3.58089235837571,,,,,,,,,,,,,,,9,7.06186982619954,,
Personality Disorders,Hospitalization,2010,Alpine,38,5,EAST,1,Rural Area,5,High Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personality Disorders,Hospitalization,2010,El Cajon,34,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,7,5.62131603038723,4.97134434981936,,,,,6,8.14553353244638,,,,,,,,,,,,,,,,,,
Personality Disorders,Hospitalization,2010,Harbison Crest/El Cajon,37,5,EAST,99,,99,,2,Supervisorial District 2,7,5.02978350374719,4.4004512770243,,,,,6,7.0345749358095,,,,,,,,,,,,,,,,,,
Personality Disorders,Hospitalization,2010,Jamul,30,5,EAST,1,Rural Area,6,Highest Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personality Disorders,Hospitalization,2010,La Mesa,33,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personality Disorders,Hospitalization,2010,Laguna-Pine Valley,61,5,EAST,1,Rural Area,3,Moderately Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personality Disorders,Hospitalization,2010,Lakeside,36,5,EAST,2,Exurban Area,3,Moderately Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
